modelo,horizonte,paciente,simulacion,MAE,RMSE,pct_A,pct_AB,pct_DE
XGBoost,15min,0,1,0.08148693109127308,0.2248597153707189,100.0,100.0,0.0
XGBoost,15min,0,2,0.10394316401989256,0.24747510240585904,100.0,100.0,0.0
XGBoost,15min,0,3,0.0822222112153005,0.23656507223686216,100.0,100.0,0.0
XGBoost,15min,0,4,0.13808375919468532,0.30333555077898255,100.0,100.0,0.0
XGBoost,15min,0,5,0.1537284562586351,0.33455637444479264,100.0,100.0,0.0
XGBoost,15min,0,6,0.11605159455499654,0.25725906279809707,100.0,100.0,0.0
XGBoost,15min,1,1,0.09741367164776032,0.2459394111852501,100.0,100.0,0.0
XGBoost,15min,1,2,0.11282972210434164,0.27356538714753736,100.0,100.0,0.0
XGBoost,15min,1,3,0.0830006224946826,0.221379153404453,100.0,100.0,0.0
XGBoost,15min,1,4,0.14605309895265234,0.29665154227127616,100.0,100.0,0.0
XGBoost,15min,1,5,0.13045589586827144,0.296824211097504,100.0,100.0,0.0
XGBoost,15min,1,6,0.10448576975451299,0.23777447592385628,100.0,100.0,0.0
XGBoost,15min,2,1,0.23983066951625218,0.4427776334024872,100.0,100.0,0.0
XGBoost,15min,2,2,0.32766986378685825,0.7611825641980692,100.0,100.0,0.0
XGBoost,15min,2,3,0.22714585797463552,0.40048019050158723,100.0,100.0,0.0
XGBoost,15min,2,4,0.2836970251060073,0.4140291388202343,100.0,100.0,0.0
XGBoost,15min,2,5,0.30068077633310153,0.46332049374794065,100.0,100.0,0.0
XGBoost,15min,2,6,0.31763520387801547,0.6369109792054124,100.0,100.0,0.0
XGBoost,15min,3,1,0.1284924430026087,0.2828281375241119,100.0,100.0,0.0
XGBoost,15min,3,2,0.17141415616535322,0.32207109865397343,100.0,100.0,0.0
XGBoost,15min,3,3,0.15830744221295084,0.3355132696625345,100.0,100.0,0.0
XGBoost,15min,3,4,0.197859004599331,0.33984088954211583,100.0,100.0,0.0
XGBoost,15min,3,5,0.2597603256997846,0.5967870311400291,100.0,100.0,0.0
XGBoost,15min,3,6,0.250919504038049,0.5706039074904171,100.0,100.0,0.0
XGBoost,15min,4,1,0.17225682478855348,0.33700262399041697,100.0,100.0,0.0
XGBoost,15min,4,2,0.19932411464582425,0.40651504203159666,100.0,100.0,0.0
XGBoost,15min,4,3,0.16486338670341133,0.3211724180193827,100.0,100.0,0.0
XGBoost,15min,4,4,0.23286781510757526,0.40182721356728157,100.0,100.0,0.0
XGBoost,15min,4,5,0.34160012627424646,0.8742217936317559,100.0,100.0,0.0
XGBoost,15min,4,6,0.23130668742217042,0.49862251141791153,100.0,100.0,0.0
XGBoost,15min,5,1,0.049261899796109204,0.18477817788867568,100.0,100.0,0.0
XGBoost,15min,5,2,0.07487951148866984,0.22505188181487187,100.0,100.0,0.0
XGBoost,15min,5,3,0.04306071993221441,0.16720899160052535,100.0,100.0,0.0
XGBoost,15min,5,4,0.07315869911109521,0.2064917440977123,100.0,100.0,0.0
XGBoost,15min,5,5,0.09761988277557355,0.2600166128505097,100.0,100.0,0.0
XGBoost,15min,5,6,0.09314072693829761,0.26423189385582285,100.0,100.0,0.0
XGBoost,15min,6,1,0.11355375120152977,0.2563744629557263,100.0,100.0,0.0
XGBoost,15min,6,2,0.13041572948054148,0.28585399757542,100.0,100.0,0.0
