modelo,horizonte,paciente,simulacion,MAE,RMSE,pct_A,pct_AB,pct_DE
ARIMAX,15min,0,1,0.2409698849264066,0.28287823496736575,100.0,100.0,0.0
ARIMAX,15min,0,2,0.2572255335093796,0.2975427850927817,100.0,100.0,0.0
ARIMAX,15min,0,3,0.23804948461180944,0.2795182075978016,100.0,100.0,0.0
ARIMAX,15min,0,4,0.2442055658378206,0.2864536093275639,100.0,100.0,0.0
ARIMAX,15min,0,5,0.23957765495442124,0.28170163057775804,100.0,100.0,0.0
ARIMAX,15min,0,6,0.2472730651588457,0.289006510834197,100.0,100.0,0.0
ARIMAX,15min,1,1,0.25824782469903396,0.3195146969852527,100.0,100.0,0.0
ARIMAX,15min,1,2,0.24642974809408447,0.28529547390867305,100.0,100.0,0.0
ARIMAX,15min,1,3,0.25395727883468294,0.36221277226634346,100.0,100.0,0.0
ARIMAX,15min,1,4,0.24232215352250305,0.2820175530939772,100.0,100.0,0.0
ARIMAX,15min,1,5,0.2471194117815312,0.28613878982082486,100.0,100.0,0.0
ARIMAX,15min,1,6,0.2472312510364106,0.2876272487385611,100.0,100.0,0.0
ARIMAX,15min,2,1,0.25388627878680287,0.29089932886492026,100.0,100.0,0.0
ARIMAX,15min,2,2,0.25055304140314444,0.28956956961474295,100.0,100.0,0.0
ARIMAX,15min,2,3,0.24875524666932725,0.28806523920338317,100.0,100.0,0.0
ARIMAX,15min,2,4,0.25121596399005924,0.28908221569968906,100.0,100.0,0.0
ARIMAX,15min,2,5,0.2551515582298717,0.29410713035370706,100.0,100.0,0.0
ARIMAX,15min,2,6,0.24990974788685333,0.28981988143146736,100.0,100.0,0.0
ARIMAX,15min,3,1,0.245471928732778,0.2878995772801998,100.0,100.0,0.0
ARIMAX,15min,3,2,0.24716713846945898,0.28547633645617365,100.0,100.0,0.0
ARIMAX,15min,3,3,0.24451790746797036,0.28551234661885144,100.0,100.0,0.0
ARIMAX,15min,3,4,0.25431724936867606,0.2947602821140958,100.0,100.0,0.0
ARIMAX,15min,3,5,0.2480890263238174,0.2876190741329275,100.0,100.0,0.0
ARIMAX,15min,3,6,0.24702667501355388,0.2868462673045276,100.0,100.0,0.0
ARIMAX,15min,4,1,0.25402697638407473,0.29347525298904226,100.0,100.0,0.0
ARIMAX,15min,4,2,0.24112204314738753,0.2824732539231164,100.0,100.0,0.0
ARIMAX,15min,4,3,0.25043751088653504,0.290142041792851,100.0,100.0,0.0
ARIMAX,15min,4,4,0.24759595213403804,0.28655914091970985,100.0,100.0,0.0
ARIMAX,15min,4,5,0.2510461142328082,0.28729958044950205,100.0,100.0,0.0
ARIMAX,15min,4,6,0.2586954902043398,0.32593467279017513,100.0,100.0,0.0
ARIMAX,15min,5,1,0.24390005000885895,0.28611020300482853,100.0,100.0,0.0
ARIMAX,15min,5,2,0.24099830932024496,0.2861571436632431,100.0,100.0,0.0
ARIMAX,15min,5,3,0.24946804133911604,0.2901130112766453,100.0,100.0,0.0
ARIMAX,15min,5,4,0.24962229621432916,0.2913631081030745,100.0,100.0,0.0
ARIMAX,15min,5,5,0.24630897347330122,0.2896526345374278,100.0,100.0,0.0
ARIMAX,15min,5,6,0.24329477411666436,0.2874773795491131,100.0,100.0,0.0
ARIMAX,15min,6,1,0.24221856263440492,0.2821410400014604,100.0,100.0,0.0
ARIMAX,15min,6,2,0.25001571694806635,0.2880086941008539,100.0,100.0,0.0
ARIMAX,15min,6,3,0.2499921570837342,0.28947739010127976,100.0,100.0,0.0
