modelo,horizonte,paciente,simulacion,MAE,RMSE,pct_A,pct_AB,pct_DE
ARIMAX,15min,0,1,0.2409698849264066,0.2828782349673657,100.0,100.0,0.0
ARIMAX,15min,0,2,0.2572255335093796,0.2975427850927817,100.0,100.0,0.0
ARIMAX,15min,0,3,0.2380494846118094,0.2795182075978016,100.0,100.0,0.0
ARIMAX,15min,0,4,0.2442055658378206,0.2864536093275639,100.0,100.0,0.0
ARIMAX,15min,0,5,0.2395776549544212,0.281701630577758,100.0,100.0,0.0
ARIMAX,15min,0,6,0.2472730651588457,0.289006510834197,100.0,100.0,0.0
ARIMAX,15min,1,1,0.2582478246990339,0.3195146969852527,100.0,100.0,0.0
ARIMAX,15min,1,2,0.2464297480940844,0.285295473908673,100.0,100.0,0.0
ARIMAX,15min,1,3,0.2539572788346829,0.3622127722663434,100.0,100.0,0.0
ARIMAX,15min,1,4,0.242322153522503,0.2820175530939772,100.0,100.0,0.0
ARIMAX,15min,1,5,0.2471194117815312,0.2861387898208248,100.0,100.0,0.0
ARIMAX,15min,1,6,0.2472312510364106,0.2876272487385611,100.0,100.0,0.0
ARIMAX,15min,2,1,0.2538862787868028,0.2908993288649202,100.0,100.0,0.0
ARIMAX,15min,2,2,0.2505530414031444,0.2895695696147429,100.0,100.0,0.0
ARIMAX,15min,2,3,0.2487552466693272,0.2880652392033831,100.0,100.0,0.0
ARIMAX,15min,2,4,0.2512159639900592,0.289082215699689,100.0,100.0,0.0
ARIMAX,15min,2,5,0.2551515582298717,0.294107130353707,100.0,100.0,0.0
ARIMAX,15min,2,6,0.2499097478868533,0.2898198814314673,100.0,100.0,0.0
ARIMAX,15min,3,1,0.245471928732778,0.2878995772801998,100.0,100.0,0.0
ARIMAX,15min,3,2,0.2471671384694589,0.2854763364561736,100.0,100.0,0.0
ARIMAX,15min,3,3,0.2445179074679703,0.2855123466188514,100.0,100.0,0.0
ARIMAX,15min,3,4,0.254317249368676,0.2947602821140958,100.0,100.0,0.0
ARIMAX,15min,3,5,0.2480890263238174,0.2876190741329275,100.0,100.0,0.0
ARIMAX,15min,3,6,0.2470266750135538,0.2868462673045276,100.0,100.0,0.0
ARIMAX,15min,4,1,0.2540269763840747,0.2934752529890422,100.0,100.0,0.0
ARIMAX,15min,4,2,0.2411220431473875,0.2824732539231164,100.0,100.0,0.0
ARIMAX,15min,4,3,0.250437510886535,0.290142041792851,100.0,100.0,0.0
ARIMAX,15min,4,4,0.247595952134038,0.2865591409197098,100.0,100.0,0.0
ARIMAX,15min,4,5,0.2510461142328082,0.287299580449502,100.0,100.0,0.0
ARIMAX,15min,4,6,0.2586954902043398,0.3259346727901751,100.0,100.0,0.0
ARIMAX,15min,5,1,0.2439000500088589,0.2861102030048285,100.0,100.0,0.0
ARIMAX,15min,5,2,0.2409983093202449,0.2861571436632431,100.0,100.0,0.0
ARIMAX,15min,5,3,0.249468041339116,0.2901130112766453,100.0,100.0,0.0
ARIMAX,15min,5,4,0.2496222962143291,0.2913631081030745,100.0,100.0,0.0
ARIMAX,15min,5,5,0.2463089734733012,0.2896526345374278,100.0,100.0,0.0
ARIMAX,15min,5,6,0.2432947741166643,0.2874773795491131,100.0,100.0,0.0
ARIMAX,15min,6,1,0.2422185626344049,0.2821410400014604,100.0,100.0,0.0
ARIMAX,15min,6,2,0.2500157169480663,0.2880086941008539,100.0,100.0,0.0
ARIMAX,15min,6,3,0.2499921570837342,0.2894773901012797,100.0,100.0,0.0
ARIMAX,15min,6,4,0.2489677223255712,0.2877576652294354,100.0,100.0,0.0
ARIMAX,15min,6,5,0.252938680331791,0.2918738267618236,100.0,100.0,0.0
ARIMAX,15min,6,6,0.2501539840295508,0.2899663249228588,100.0,100.0,0.0
ARIMAX,15min,7,1,0.2562837132790809,0.2950276613477746,100.0,100.0,0.0
ARIMAX,15min,7,2,0.2597865115103909,0.2969901345247392,100.0,100.0,0.0
ARIMAX,15min,7,3,0.2493865612716799,0.2883439689170033,100.0,100.0,0.0
ARIMAX,15min,7,4,0.246204035539616,0.2866936808025477,100.0,100.0,0.0
ARIMAX,15min,7,5,0.2512350608609894,0.2906733570817491,100.0,100.0,0.0
ARIMAX,15min,7,6,0.2497141563812755,0.2895531938417599,100.0,100.0,0.0
ARIMAX,15min,8,1,0.2485264679417676,0.2873871741965819,100.0,100.0,0.0
ARIMAX,15min,8,2,0.2518241625316807,0.2902731154333196,100.0,100.0,0.0
ARIMAX,15min,8,3,0.2443660450161186,0.2837871622871338,100.0,100.0,0.0
ARIMAX,15min,8,4,0.2455403847401202,0.2832073581442841,100.0,100.0,0.0
ARIMAX,15min,8,5,0.2491041061705672,0.2889786389283892,100.0,100.0,0.0
ARIMAX,15min,8,6,0.24566276963341,0.2856421886497157,100.0,100.0,0.0
ARIMAX,15min,9,1,0.247084767187485,0.2865592561675749,100.0,100.0,0.0
ARIMAX,15min,9,2,0.2487850811009348,0.2891654947691934,100.0,100.0,0.0
ARIMAX,15min,9,3,0.2532923404692955,0.2938255096540865,100.0,100.0,0.0
ARIMAX,15min,9,4,0.2480001971804147,0.2864722405066315,100.0,100.0,0.0
ARIMAX,15min,9,5,0.2775216538887615,0.6580273579215383,100.0,100.0,0.0
ARIMAX,15min,9,6,0.2467732213027176,0.2849666479670897,100.0,100.0,0.0
ARIMAX,15min,10,1,0.2522578190917973,0.2914514615143038,100.0,100.0,0.0
ARIMAX,15min,10,2,0.251126301956627,0.2891144039001825,100.0,100.0,0.0
ARIMAX,15min,10,3,0.2463198576519396,0.2863657374925144,100.0,100.0,0.0
ARIMAX,15min,10,4,0.2533537218611698,0.2901199985779679,100.0,100.0,0.0
ARIMAX,15min,10,5,0.2515363155894593,0.2908873275634213,100.0,100.0,0.0
ARIMAX,15min,10,6,0.255017849925476,0.2940879704148225,100.0,100.0,0.0
ARIMAX,15min,11,1,0.2469208754725746,0.2867532876683766,100.0,100.0,0.0
ARIMAX,15min,11,2,0.2493848590971577,0.2903507043477122,100.0,100.0,0.0
ARIMAX,15min,11,3,0.2515344543526502,0.2900845645370298,100.0,100.0,0.0
ARIMAX,15min,11,4,0.2483188267881194,0.2876620056508343,100.0,100.0,0.0
ARIMAX,15min,11,5,0.2435299925054185,0.2829871046641031,100.0,100.0,0.0
ARIMAX,15min,11,6,0.2499074085564369,0.2903100744066667,100.0,100.0,0.0
ARIMAX,15min,12,1,0.2422502156600443,0.2836257682687971,100.0,100.0,0.0
ARIMAX,15min,12,2,0.2443670670298557,0.2846095674227492,100.0,100.0,0.0
ARIMAX,15min,12,3,0.2420937361464122,0.2844949432379445,100.0,100.0,0.0
ARIMAX,15min,12,4,0.2417329353742244,0.2830259176169676,100.0,100.0,0.0
ARIMAX,15min,12,5,0.2476339570267278,0.2859172299666245,100.0,100.0,0.0
ARIMAX,15min,12,6,0.2525076404648772,0.2916735719800526,100.0,100.0,0.0
ARIMAX,15min,13,1,0.2459705148718027,0.2870433364080275,100.0,100.0,0.0
ARIMAX,15min,13,2,0.2478909131537447,0.2884981765661562,100.0,100.0,0.0
ARIMAX,15min,13,3,0.2592676734977038,0.4534936884658561,100.0,100.0,0.0
ARIMAX,15min,13,4,0.2471997569828176,0.2854012103457764,100.0,100.0,0.0
ARIMAX,15min,13,5,0.2531208015771933,0.2917565652881193,100.0,100.0,0.0
ARIMAX,15min,13,6,0.2506976968675324,0.2900436878230075,100.0,100.0,0.0
ARIMAX,15min,14,1,0.2537268428249336,0.2940345474617858,100.0,100.0,0.0
ARIMAX,15min,14,2,0.2501214033028823,0.2890102305040428,100.0,100.0,0.0
ARIMAX,15min,14,3,0.2435979474571419,0.2838185464728015,100.0,100.0,0.0
ARIMAX,15min,14,4,0.2569068027407302,0.2959569694199281,100.0,100.0,0.0
ARIMAX,15min,14,5,0.2486588674568894,0.2880945414197688,100.0,100.0,0.0
ARIMAX,15min,14,6,0.2497070183130341,0.2896298172753029,100.0,100.0,0.0
ARIMAX,15min,15,1,0.2492430263846111,0.2885144989450656,100.0,100.0,0.0
ARIMAX,15min,15,2,0.2547789829604776,0.2934717937481952,100.0,100.0,0.0
ARIMAX,15min,15,3,0.249827229327149,0.2893951368279977,100.0,100.0,0.0
ARIMAX,15min,15,4,0.2527989916445641,0.2922352399464046,100.0,100.0,0.0
ARIMAX,15min,15,5,0.2635625002700749,0.3014839303853235,100.0,100.0,0.0
ARIMAX,15min,15,6,0.2504401264567824,0.2888685884184934,100.0,100.0,0.0
ARIMAX,15min,16,1,0.2434674846661185,0.2822981703381254,100.0,100.0,0.0
